Castle Name,Latitude,Longitude,Google Maps Link,Wikipedia Link
Torre do Castelo de Aguiar de Sousa,41.123935,-8.437766,"https://www.google.com/maps?q=41.123935,-8.437766",https://pt.wikipedia.org/wiki/Torre_do_Castelo_de_Aguiar_de_Sousa
Castelo de Gaia,41.139823,-8.624503,"https://www.google.com/maps?q=41.139823,-8.624503",https://pt.wikipedia.org/wiki/Castelo_de_Gaia
Forte de Leça da Palmeira,41.18761111,-8.702275,"https://www.google.com/maps?q=41.18761111,-8.702275",https://pt.wikipedia.org/wiki/Forte_de_Le%C3%A7a_da_Palmeira
Forte de Nossa Senhora das Neves,41.18761111,-8.702275,"https://www.google.com/maps?q=41.18761111,-8.702275",https://pt.wikipedia.org/wiki/Forte_de_Nossa_Senhora_das_Neves
Forte de Nossa Senhora da Assunção,41.34176389,-8.75183611,"https://www.google.com/maps?q=41.34176389,-8.75183611",https://pt.wikipedia.org/wiki/Forte_de_Nossa_Senhora_da_Assun%C3%A7%C3%A3o
Castelo de Matosinhos,41.18761111,-8.702275,"https://www.google.com/maps?q=41.18761111,-8.702275",https://pt.wikipedia.org/wiki/Castelo_de_Matosinhos
Torre dos Alcoforados,41.24747,-8.409916,"https://www.google.com/maps?q=41.24747,-8.409916",https://pt.wikipedia.org/wiki/Torre_dos_Alcoforados
Muralha Primitiva,41.14309722,-8.61046944,"https://www.google.com/maps?q=41.14309722,-8.61046944",https://pt.wikipedia.org/wiki/Muralha_Primitiva
Muralhas do Porto,41.142618,-8.611368,"https://www.google.com/maps?q=41.142618,-8.611368",https://pt.wikipedia.org/wiki/Muralhas_do_Porto
Muralha Fernandina do Porto,41.142591,-8.611361,"https://www.google.com/maps?q=41.142591,-8.611361",https://pt.wikipedia.org/wiki/Muralha_Fernandina_do_Porto
Distrito de Viana do Castelo,41.695,-8.83,"https://www.google.com/maps?q=41.695,-8.83",https://pt.wikipedia.org/wiki/Distrito_de_Viana_do_Castelo
Fortim da Atalaia,41.9458333333333,-8.73694444444445,"https://www.google.com/maps?q=41.9458333333333,-8.73694444444445",https://pt.wikipedia.org/wiki/Fortim_da_Atalaia
Atalaia de Lovelhe,41.9458333333333,-8.73694444444445,"https://www.google.com/maps?q=41.9458333333333,-8.73694444444445",https://pt.wikipedia.org/wiki/Atalaia_de_Lovelhe
Castelo de Lindoso,41.86694444,-8.19916667,"https://www.google.com/maps?q=41.86694444,-8.19916667",https://pt.wikipedia.org/wiki/Castelo_de_Lindoso
Castelo de Castro Laboreiro,42.02293056,-8.15824722,"https://www.google.com/maps?q=42.02293056,-8.15824722",https://pt.wikipedia.org/wiki/Castelo_de_Castro_Laboreiro
Castelo de Curutelo,41.653241,-8.605282,"https://www.google.com/maps?q=41.653241,-8.605282",https://pt.wikipedia.org/wiki/Castelo_de_Curutelo
Bateria da Mata,41.9458333333333,-8.73694444444445,"https://www.google.com/maps?q=41.9458333333333,-8.73694444444445",https://pt.wikipedia.org/wiki/Bateria_da_Mata
Castelo de Castro Laboredo,42.02293056,-8.15824722,"https://www.google.com/maps?q=42.02293056,-8.15824722",https://pt.wikipedia.org/wiki/Castelo_de_Castro_Laboredo
Castelo de Monção,42.078664,-8.480006,"https://www.google.com/maps?q=42.078664,-8.480006",https://pt.wikipedia.org/wiki/Castelo_de_Mon%C3%A7%C3%A3o
Castelo de Portuzelo,41.701994,-8.785297,"https://www.google.com/maps?q=41.701994,-8.785297",https://pt.wikipedia.org/wiki/Castelo_de_Portuzelo
Castelo do Neiva,41.624444444444,-8.795,"https://www.google.com/maps?q=41.624444444444,-8.795",https://pt.wikipedia.org/wiki/Castelo_do_Neiva
Castelo de Vila Nova de Cerveira,41.94055556,-8.74472222,"https://www.google.com/maps?q=41.94055556,-8.74472222",https://pt.wikipedia.org/wiki/Castelo_de_Vila_Nova_de_Cerveira
Viana do Castelo,41.7,-8.8333333333333,"https://www.google.com/maps?q=41.7,-8.8333333333333",https://pt.wikipedia.org/wiki/Viana_do_Castelo
Viana do Castelo,41.7,-8.8333333333333,"https://www.google.com/maps?q=41.7,-8.8333333333333",https://pt.wikipedia.org/wiki/Viana_do_Castelo
Viana do Castelo,41.7,-8.8333333333333,"https://www.google.com/maps?q=41.7,-8.8333333333333",https://pt.wikipedia.org/wiki/Viana_do_Castelo
Castelo do Neiva,41.624444444444,-8.795,"https://www.google.com/maps?q=41.624444444444,-8.795",https://pt.wikipedia.org/wiki/Castelo_do_Neiva
Forte da Areosa,41.69983333,-8.85591667,"https://www.google.com/maps?q=41.69983333,-8.85591667",https://pt.wikipedia.org/wiki/Forte_da_Areosa
Forte da Ínsua,41.85916667,-8.87472222,"https://www.google.com/maps?q=41.85916667,-8.87472222",https://pt.wikipedia.org/wiki/Forte_da_%C3%8Dnsua
Viana do Castelo,41.7,-8.8333333333333,"https://www.google.com/maps?q=41.7,-8.8333333333333",https://pt.wikipedia.org/wiki/Viana_do_Castelo
Forte da Vinha,41.69983333,-8.85591667,"https://www.google.com/maps?q=41.69983333,-8.85591667",https://pt.wikipedia.org/wiki/Forte_da_Vinha
Viana do Castelo,41.7,-8.8333333333333,"https://www.google.com/maps?q=41.7,-8.8333333333333",https://pt.wikipedia.org/wiki/Viana_do_Castelo
Forte de São Francisco de Lovelhe,41.951749,-8.742041,"https://www.google.com/maps?q=41.951749,-8.742041",https://pt.wikipedia.org/wiki/Forte_de_S%C3%A3o_Francisco_de_Lovelhe
Viana do Castelo,41.7,-8.8333333333333,"https://www.google.com/maps?q=41.7,-8.8333333333333",https://pt.wikipedia.org/wiki/Viana_do_Castelo
Forte do Cão,41.797679,-8.873923,"https://www.google.com/maps?q=41.797679,-8.873923",https://pt.wikipedia.org/wiki/Forte_do_C%C3%A3o
Muralhas de Ponte de Lima,41.768048,-8.584524,"https://www.google.com/maps?q=41.768048,-8.584524",https://pt.wikipedia.org/wiki/Muralhas_de_Ponte_de_Lima
Monserrate,41.692222222222,-8.8413888888889,"https://www.google.com/maps?q=41.692222222222,-8.8413888888889",https://pt.wikipedia.org/wiki/Monserrate_(Viana_do_Castelo)
Praça-forte de Valença,42.032545,-8.645144,"https://www.google.com/maps?q=42.032545,-8.645144",https://pt.wikipedia.org/wiki/Pra%C3%A7a-forte_de_Valen%C3%A7a
Forte de Azevedo,41.951749,-8.742041,"https://www.google.com/maps?q=41.951749,-8.742041",https://pt.wikipedia.org/wiki/Forte_de_Azevedo
Torre de Lapela,42.05644444,-8.53805556,"https://www.google.com/maps?q=42.05644444,-8.53805556",https://pt.wikipedia.org/wiki/Torre_de_Lapela
Torre de Refóios,41.79111111,-8.54555556,"https://www.google.com/maps?q=41.79111111,-8.54555556",https://pt.wikipedia.org/wiki/Torre_de_Ref%C3%B3ios
Castelo da Piconha,41.892408,-7.866286,"https://www.google.com/maps?q=41.892408,-7.866286",https://pt.wikipedia.org/wiki/Castelo_da_Piconha
Forte de Lovelhe,41.951749,-8.742041,"https://www.google.com/maps?q=41.951749,-8.742041",https://pt.wikipedia.org/wiki/Forte_de_Lovelhe
Castelo de Chaves,41.73944444,-7.47166667,"https://www.google.com/maps?q=41.73944444,-7.47166667",https://pt.wikipedia.org/wiki/Castelo_de_Chaves
Castelo de Monforte,41.762258333333,-7.3561055555556,"https://www.google.com/maps?q=41.762258333333,-7.3561055555556",https://pt.wikipedia.org/wiki/Castelo_de_Monforte_(Chaves)
Castelo de Montalegre,41.826,-7.791,"https://www.google.com/maps?q=41.826,-7.791",https://pt.wikipedia.org/wiki/Castelo_de_Montalegre
Castelo de Pena de Aguiar,41.46944444,-7.68027778,"https://www.google.com/maps?q=41.46944444,-7.68027778",https://pt.wikipedia.org/wiki/Castelo_de_Pena_de_Aguiar
Castelo do Mau Vizinho,41.8170585632324,-7.2331428527832,"https://www.google.com/maps?q=41.8170585632324,-7.2331428527832",https://pt.wikipedia.org/wiki/Castelo_do_Mau_Vizinho_(Vila_Real)
Castelo de Santo Estêvão,41.75904,-7.419558,"https://www.google.com/maps?q=41.75904,-7.419558",https://pt.wikipedia.org/wiki/Castelo_de_Santo_Est%C3%AAv%C3%A3o
Forte de São Francisco de Chaves,41.742904663086,-7.4691658020019,"https://www.google.com/maps?q=41.742904663086,-7.4691658020019",https://pt.wikipedia.org/wiki/Forte_de_S%C3%A3o_Francisco_de_Chaves
Forte de São Neutel,41.749797222222,-7.4677777777778,"https://www.google.com/maps?q=41.749797222222,-7.4677777777778",https://pt.wikipedia.org/wiki/Forte_de_S%C3%A3o_Neutel
Castelo de Aguiar da Pena,41.46944444,-7.68027778,"https://www.google.com/maps?q=41.46944444,-7.68027778",https://pt.wikipedia.org/wiki/Castelo_de_Aguiar_da_Pena
Forte de Nossa Senhora do Rosário,41.742904663086,-7.4691658020019,"https://www.google.com/maps?q=41.742904663086,-7.4691658020019",https://pt.wikipedia.org/wiki/Forte_de_Nossa_Senhora_do_Ros%C3%A1rio
Torre de Quintela,41.297316,-7.780486,"https://www.google.com/maps?q=41.297316,-7.780486",https://pt.wikipedia.org/wiki/Torre_de_Quintela
Castelo de Penedono,40.99,-7.393888888888889,"https://www.google.com/maps?q=40.99,-7.393888888888889",https://pt.wikipedia.org/wiki/Castelo_de_Penedono
Castelo de Sernancelhe,40.90064,-7.49456,"https://www.google.com/maps?q=40.90064,-7.49456",https://pt.wikipedia.org/wiki/Castelo_de_Sernancelhe
Torre de Ucanha,41.048444,-7.74729,"https://www.google.com/maps?q=41.048444,-7.74729",https://pt.wikipedia.org/wiki/Torre_de_Ucanha
Distrito de Castelo Branco,39.824,-7.492,"https://www.google.com/maps?q=39.824,-7.492",https://pt.wikipedia.org/wiki/Distrito_de_Castelo_Branco
Castelo do Magriço,40.99,-7.393888888888889,"https://www.google.com/maps?q=40.99,-7.393888888888889",https://pt.wikipedia.org/wiki/Castelo_do_Magri%C3%A7o
Castelo da Sertã,39.80656,-8.099464,"https://www.google.com/maps?q=39.80656,-8.099464",https://pt.wikipedia.org/wiki/Castelo_da_Sert%C3%A3
